,Tweets,Time,Username
76,Huge weekend for us. @makerfaire_uk and the launch of @campusnorthuk @coderdojo. Come and see us :),4/24/2015,CoderDojoNE
77,US viral video sensations @eepybird fly in to add 'fizz' to this weekend's @makerfaire_uk @scienceatlife :pic.twitter.com/zH5ZuEuc7X,4/24/2015,northnews
78,"Anyway… I’ll be kicking around @makerfaire_uk tomorrow and Sunday. If you have something you think @make would be interested in, talk to me!",4/24/2015,aallan
79,"Logan's first soldering lesson, off non other than @maltman23 @makerfaire_uk  #MakerFaireUKpic.twitter.com/LVIO3Gw6li",4/25/2015,Forst3r
80,We left an A+ in the exchange cupboard at @settledown. @makerfaire_uk #makerfaireuk What'll you swap it for? #RPCTpic.twitter.com/lCo9HDJGYZ,4/25/2015,Raspberry_Pi
81,Our Creative Technologists ready to take on @makerfaire_uk today - Thanks @settledown !pic.twitter.com/uhJxxDpFCa,4/25/2015,Raspberry_Pi
82,Future wearable tech may come from these Columbia engineering students competing at the next @MakerFaire in NYC . http://ow.ly/MbSjK ,4/27/2015,Columbia
83,Sending a big thank you to the organisers and volunteers  @makerfaire_uk - We all had an awesome time #makerfaire_ukpic.twitter.com/DcyZwg2j2K,4/27/2015,Cannybots
84,"Hello, world! We are excited to launch http://nationalmakerfaire.com  w/the rest of the #NatlMakerFaire producers today! #MakerFaire #NationOfMakers",4/28/2015,NationOfMakers
85,"Why sharing what you make is so cool, a family enjoying my @Raspberry_Pi powered digital zoetrope @makerfaire_ukpic.twitter.com/zBelF7BCvs",4/28/2015,CannonFodder
86,So excited for the upcoming #MakerFaire at @ARInnovationHub this Saturday in Argenta @ExploreNLR #InnovateToEducatepic.twitter.com/tdtl68zkpG,4/28/2015,UTeachArk
87,My #SanFrancisco Tour: May 9 - @SAFEhouseARTSsf May 10 Monkey House May 16 and 17 Bay Area @makerfaire performing on http://www.shamancycle.com ,4/28/2015,Legere
88,Congrats to the @makerfaire team on the launch of #makerspace ! Ya'll know how to warm the maker heart.pic.twitter.com/41sn8VWdYf,4/29/2015,dimatosj
89,Have a spare quadcopter and want a free ticket to MakerFaire? Sign up to battle with @GameofDronesCA! https://docs.google.com/a/makermedia.com/forms/d/1U9eQYuC0G1tIo9Z2A98DvWXcm_rY3tJtMrabhtrR4_s/viewform?c=0&w=1 …,4/29/2015,msenese
90,"littleBits, @spark_io, @MakeUseOf & @TinkerCrate wanna send you to @makerfaire! Sweepstakes: http://littlebits.cc/fare-to-faire-spark …pic.twitter.com/yWL0b5yFQR",4/29/2015,littleBits
91,@Legere  @makerfaire @sfchronicle I'm going to see Phoebe's Shamancycle!,4/29/2015,CoolVentures
92,Makers Faire 2015 Mantis Hexapod the giant walking machine.#lifesciencecentre @makerfaire_uk #robots #gadgets #RTpic.twitter.com/AxGkcTBqt9,4/29/2015,ExtremeConsoles
93,Everyone should have been at @makerfaire_uk! http://www.geekpress.co.uk/why-everyone-should-have-been-at-makers-faire-uk … @ClarkcadeUK @MediaTekLabs @eepybird #NEFollowerspic.twitter.com/DoJei9p1pE,4/30/2015,GeekPressUK
94,Proud to see National Maker Faire Coming to Washington DC in June http://makezine.com/2015/04/09/national-maker-faire-coming-washington-dc-june/ … via @make @makerfaire,4/9/2015,dalepd
95,So excited for @NatlMakerFaire! June 12th & 13th @UDC. http://makerfairedc.com/  #DC #makerfaire #invention #science #tech,5/1/2015,christanyc
96,Frenchies will prove that we know how to #makerfaire too at @MakerFaireParis May 2&3 @foiredeparis @leFabShop #MFP15pic.twitter.com/MsUIZ2PeTL,5/1/2015,yonidayan_
97,The #maker movement is 10 years old! But ... what exactly is it? http://blogs.edweek.org/edweek/curriculum/2015/05/what_exactly_is_the_maker_move.html … @educationweek #makerfaire,5/1/2015,LianaLoewus
98,Our Call for Makers is now open! Join the first-ever National #MakerFaire → http://nationalmakerfaire.com  #NatlMakerFaire CC @NationOfMakers,5/1/2015,natlmakerfaire
99,The very first Lighthouse!  Come see it and chat with me about Lighthouse at @makerfaire San Mateo next weekend. pic.twitter.com/VHhU1ea5hM,5/10/2015,vk2zay
100,"In honor of #MakerFaire, #MakerCon, + #MakerWeek, take 50% off all #Make #ebooks at @OReillyMedia http://oreil.ly/1cK6huK ",5/11/2015,make
101,It’s always exciting when you can count the days left ’til @MakerFaire on one hand! http://bit.ly/1KXjxHr pic.twitter.com/nyUdguYEC3,5/11/2015,MicrochipMakes
102,Great snaps coming your way this week from Intel_inside for #IntelISEF and #MakerFaire. pic.twitter.com/yVGunW8sRU,5/11/2015,WeAreIntel
103,@TheTechMuseum #RogueMaking #WearableTech Thanks for including us in the first #CreativeCollisions C U @makerfaire ~T pic.twitter.com/FenSY6v4Pv,5/12/2015,TenayaHurst
104,This weekend is the 10th annual Bay Area @MakerFaire. Join us for 2 days of invention and innovation! pic.twitter.com/LtmTEG9Azw,5/12/2015,intel
105,Are you reaaaady?Sneak peek: Look who's moving in? #EarthMover #MakerFaire #MFBA15 #BehindTheScenespic.twitter.com/V3dqqyyhPn,5/12/2015,makerfaire
106,Great list. 16 Things to See and Do at #MakerFaire Bay Area | SF Station - San Francisco's City Guide http://ow.ly/MRQXr   #MFBA15,5/12/2015,makerfaire
107,"A new place to #MeetTheMakers: @MakerFaire launches MakerSpace, a social network for makers http://techcrunch.com/2015/05/12/maker-faire-goes-online-with-a-new-social-network-for-makers-called-makerspace/ …pic.twitter.com/dVJGNaN9Da",5/12/2015,littleBits
108,We're selling @MakerFaire exclusive IoT Dev Kits for $20 this weekend! Come find us at booth 2504 in the Expo Hall! pic.twitter.com/6jxJKsZClY,5/12/2015,electricimp
109,What does 12kg of stickers look like? We'll be doling these out at @makerfaire Bay Area this weekend! #MakerFaire pic.twitter.com/lEiUsHSuQc,5/12/2015,Raspberry_Pi
110,"We’re on for the Bring-A-Hack dinner after MakerFaire! We have BJ’s Restaurant, San Mateo Sunday 6pm-Midnight!",5/13/2015,jeriellsworth
111,My meeting at #Apple was #fun. They like my #nonprofit and my #inventions. Theyre coming 2  #Shamancycle @makerfaire pic.twitter.com/NqFgEmZAn6,5/13/2015,Legere
112,"Eben takes the stage with @dalepd at @MakerCon, kicking off our week of making and @makerfaire Bay Area! pic.twitter.com/1QqvXFfJpm",5/13/2015,Raspberry_Pi
113,Announcing the first Capitol Hill #MakerFaire w/@US_IMLS on 6/11 – spread the word!http://www.imls.gov/news/maker_faire.aspx …pic.twitter.com/HeETr0NacQ,5/13/2015,MakerCaucus
114,"Answer the Call before May 18! #NatlMakerFaire #STEM #edchat #tech #MakerFaire #FREE #DCevents #WeekOfMakinghttps://twitter.com/natlmakerfaire/status/594852000182894594 …Nation Of Makers added,",5/14/2015,NationOfMakers
115,getting started on our @Raspberry_Pi stand at @makerfaire pic.twitter.com/OXngnQvHR9,5/14/2015,RachelRayns
116,Watch @calebkraft get whacked by the Vortex Smoke Ring Blaster. @VSRingBlaster #MakerFaire pic.twitter.com/RRklnYiwCt,5/14/2015,msenese
117,3D Printing some enclosures on the @Atmel powered @MakerBot for my @makerfaire project! pic.twitter.com/dSzMDN6XaZ,5/14/2015,Qtechknow
118,3 female #makers representing @NationOfMakers #NatlMakerFaire at #MakerFaire this wknd!@dmjonesdavis @QuincyKBrown @mmlee #womeninSTEM,5/14/2015,natlmakerfaire
119,First rule of robot fight club is you don't talk about it. Unless you've got a giant paintball cannon. #MakerFairehttps://amp.twimg.com/v/22a4adc3-1e26-4cb7-95a8-141fd4867de1 …,5/14/2015,autodesk
120,Show us what you're making on ROBLOX! Four lucky winners get the @MakerFaire Wrench Pack before anyone else! pic.twitter.com/v02ZKIgyWT,5/14/2015,Roblox
121,Super-Awesome Sylvia is signing her Arduino book for kids at the @littlebits booth today at 2:15 @makerfaire pic.twitter.com/1gfPw22mCW,5/15/2015,garystager
122,"At #MakerFaire Bay Area? @LowVoltageLabs explains how to design a Pi HAT w @kicad_pcb, Electronics Stage, 12.30pm Sat http://makerfaire.com/maker/entry/50662/ …",5/15/2015,Raspberry_Pi
123,"Come visit the @Pebble booth at @makerfaire     There's a robot death match ring, controlled by Pebble! pic.twitter.com/WFoXnYhHS9",5/15/2015,jacobsurber
124,The giant @MegaBotsInc is getting ready to fire some paintballs! Don't miss the show tomorrow! #makerfaire #MFBA15pic.twitter.com/ylEZbKraAC,5/15/2015,makerfaire
125,Our first customer with the DOTS board is @oomlout! #MakerFaire pic.twitter.com/BNlcHNVv7Y,5/15/2015,Raspberry_Pi
126,Welcome to #MakerFaire! Doors officially open now! Students are eager to have some fun! # MFBA15 pic.twitter.com/WNB16FJ5oT,5/15/2015,makerfaire
127,Excitement in the air as the front gates officially open for #MakerFaire 2015!!!! #make #makers #MFBA15pic.twitter.com/rdydWMclkx,5/15/2015,make
128,GREAT news! Maker Faire is coming to schools and communities! Introducing School Maker Faire: http://bit.ly/MFSchool pic.twitter.com/GhbghlJhUr,5/15/2015,makerfaire
129,Are you going @makerfaire Bay Area this weekend? Come see us and give Raspberry Pi a test drive! #MakerFaire pic.twitter.com/z6F1V7vFWi,5/15/2015,Raspberry_Pi
130,Peek inside the mad minds of the @MakerFaire this weekend. Follow Intel_Inside on Snapchat. http://intel.ly/1bUF2fI pic.twitter.com/9ig2XOe1Wx,5/15/2015,intel
131,Booth #2455 is looking mad fly #MakerFaire pic.twitter.com/NmjZIXxaCq,5/15/2015,littleBits
132,Celebrate with us a decade of Making at Maker Faire Bay Area http://bit.ly/1RPLJ3J  #makerfaire #arduino,5/15/2015,arduino
133,Epic @jimmydiresta photo bomb with @drunkenwood and Peter Brown. #makerfaire pic.twitter.com/6UFpzHD510,5/16/2015,iliketomakestuf
134,Had a good time at #makerfaire with @JimmyDiResta and @iliketomakestuf!pic.twitter.com/1vYdQ2bWmY,5/16/2015,drunkenwood
135,The @QuickDrawBot at @makerfaire runs on Raspberry Pi! pic.twitter.com/2t8Iy3yjL9,5/16/2015,Raspberry_Pi
136,"@donttrythis @makerfaire this is my family's 1st year, hoped to see you. pic.twitter.com/7AghMl9KZw",5/16/2015,jaydoscher
137,This pyrotechnic rhino shoots fire from its horn. Why? Because it can. #mfba15 #makerfaire pic.twitter.com/1G25E9cmxK,5/16/2015,PopSci
138,"A robotic walking ""house"" inspired by Buckminster Fuller, Strandbeests...and Star Wars. #mfba15 #makerfaire pic.twitter.com/SRcWnnNcsD",5/16/2015,PopSci
139,Constructing Confidence: See how @ProjectHDesign transforms kids into #makers http://autode.sk/1H74uHC  #makerfaire pic.twitter.com/LbloKjRk9s,5/16/2015,autodesk
140,So there's a banana in the Raspberry Pi booth at @makerfaire pic.twitter.com/MH6C7jyjzP,5/16/2015,Raspberry_Pi
141,#MakerFaire live feed http://makerfaire.com/live/  via @nycjava,5/16/2015,timoreilly
142,Say hi to @EFF at #MakerFaire! We're in the Expo Hall Games section near the west doors. https://www.eff.org/event/eff-maker-faire-bay-area-2015 …pic.twitter.com/aOIa1YLxlv,5/16/2015,EFF
143,Dueling with the score-keeping @sabertronic glow swords #mfba15 #makerfaire pic.twitter.com/M1MUlRtV7x,5/16/2015,PopSci
144,Check out this amazing interactive 40-foot #sculpture Sessilanoid in the dark room! #MakerFaire #MFBA15pic.twitter.com/smfVjMnrrz,5/16/2015,makerfaire
145,The dancing spiderbot powered by @intel #makerfaire #MFBA15https://vine.co/v/eKYHiW7IQ0A ,5/16/2015,make
146,Robot Makers are meeting each other at Maker Faire Bay Area today.  #MakerFaire pic.twitter.com/nAhxduQtK9,5/16/2015,dalepd
147,Edison is putting game-changing spins and mixes all over #MakerFaire. @ThudRumblepic.twitter.com/uyex6gzO0q,5/16/2015,intel
148,The disco ball tail!  #robot #makerfaire #MFBA15https://vine.co/v/eKYhqrwlZn9 ,5/16/2015,make
149,Here we are - now all we need is you. Come and get some hands-on time with a Pi! #MakerFaire #MFBA15pic.twitter.com/uxXlgQMS1H,5/16/2015,Raspberry_Pi
