,Tweets,Time,Username
110,"Intricate, hand-crafted battle armor—for cats and mice @makerfaire pic.twitter.com/7hFZk1Jzn0",5/17/2014,msenese
111,Just two kids drivin' around on their steampunk trilobyte. As you do. #MakerFaire pic.twitter.com/d915N4pCAv,5/17/2014,SparkyRobot
112,And here is the @OtherMachine Othermill in action. Reminds me of the original Macintosh. #MakerFaire pic.twitter.com/6TtA9pKaeA,5/17/2014,timoreilly
113,"OH at #makerfaire: ""This is like Burning Man, except everyone has their clothes on.""",5/17/2014,brit
114,This help wanted list from @othermachine puts the modern Maker movement in a nutshell. #MakerFaire pic.twitter.com/9bRVciyf5q,5/17/2014,timoreilly
115,Our own @Emily and @Nicole are at #MakerFaire and captured a few fun Vines. Keep up at http://vine.co/engadget  https://vine.co/v/MXY3daFgFxd ,5/17/2014,engadget
116,Add us on @Snapchat at Intel_Inside for the latest from #MakerFaire this weekend! pic.twitter.com/ySBQ3n3o33,5/17/2014,intel
117,NEW - The Invent To Learn Guide to 3D Printing in the Classroom: Recipes for Success. Coming June 2014 http://inventtolearn3d.com/  #makerfaire,5/17/2014,smartinez
118,Heading down to #MakerFaire. On stage with @itsDanielSuarez at 5. Lots of things to see before and after!,5/17/2014,timoreilly
119,"""It's not about being perfect, it's about the experience"" - @carlbass #MakerFaire @makerfaire",5/17/2014,autodesk
120,Who's at @makerfaire today? Best experience so far? Hope to see you at 2pm at the Center Stage!,5/17/2014,tferriss
121,"A dollhouse for the modern girl. Comes with a Bunsen burner, microscope, and a saw.@makerfaire pic.twitter.com/Z7phoGGTIG",5/17/2014,NicoleLazzaro
122,How to prevent a drone invasion!!#makerfaire pic.twitter.com/L949wvB7o6,5/17/2014,rahulkar10
123,"It’s @MakerFaire time! Catch us and @sparkdevices at the Expo Hall, Booth 813!pic.twitter.com/UB7BxHd85A",5/17/2014,Pebble
124,Find @EFF at @MakerFaire! We're in the Expo Hall just west of Game of Drones. https://eff.org/r.ls20 ,5/17/2014,EFF
125,We're at #MakerFaire this weekend! Got questions? We got answers: http://bit.ly/1jmz09K ,5/17/2014,kickstarter
126,Come visit the @3DRobotics crew and lots of other drone makers at @makerfaire this weekend: http://diydrones.com/profiles/blogs/meet-the-3dr-team-and-other-diy-drones-members-at-maker-faire-thi …,5/17/2014,chr1sa
